trading_date,entry_price,n_bars,prev_poc,midnight_open,day_open,prev_val,prev_vah,R_long,MFE_long,MAE_long,pts_long,stopped_long,R_short,MFE_short,MAE_short,pts_short,stopped_short
2024-08-01,19525.0,391,19448.25,19684.5,19593.25,19343.75,19534.25,-1.0,157.0,30.0,-498.25,True,-1.0,11.5,30.0,498.25,True
2024-08-02,18650.5,391,19623.5,18790.5,18956.5,19058.0,19692.5,-1.0,4.0,30.0,-99.25,True,-1.0,108.5,30.0,99.25,True
2024-08-06,18078.0,391,18079.5,18392.5,18165.75,17792.0,18189.0,-1.0,96.0,30.0,83.75,True,-1.0,12.5,30.0,-83.75,True
2024-08-08,18224.5,391,18438.75,18022.0,17873.0,18163.75,18558.25,-1.0,18.5,30.0,346.5,True,-1.0,160.25,30.0,-346.5,True
2024-08-09,18451.0,391,18404.25,18565.0,18550.25,18199.75,18576.25,-1.0,77.75,30.0,155.5,True,-1.0,-0.0,30.0,-155.5,True
2024-08-12,18641.25,391,18527.5,18636.75,18590.0,18448.0,18594.5,-1.0,31.25,30.0,12.75,True,-1.0,7.5,30.0,-12.75,True
2024-08-13,18821.75,391,18643.0,18670.25,18648.25,18586.0,18684.0,8.858333333333333,290.75,5.5,265.75,False,-1.0,5.5,30.0,-265.75,True
2024-08-14,19137.25,391,19062.0,19108.25,19099.25,18875.0,19122.5,-1.0,38.25,30.0,-20.25,True,-1.0,9.25,30.0,20.25,True
2024-08-15,19352.0,391,19106.75,19215.0,19142.5,19040.75,19142.25,7.85,251.25,15.75,235.5,False,-1.0,15.75,30.0,-235.5,True
2024-08-16,19503.5,391,19566.25,19633.75,19570.25,19416.75,19603.25,-1.0,5.25,30.0,100.5,True,-1.0,41.0,30.0,-100.5,True
2024-08-19,19604.5,391,19612.5,19646.25,19629.0,19521.0,19647.0,-1.0,10.0,30.0,240.0,True,-1.0,75.5,30.0,-240.0,True
2024-08-20,19817.75,391,19620.25,19875.75,19857.75,19544.25,19692.75,-1.0,107.25,30.0,4.0,True,-1.0,0.75,30.0,-4.0,True
