card_id,tv_replay_datetime,window,direction,shape,trigger_price,second_legs,call(take/skip),why
C054,2025-11-24 09:32 ET,NY_AM,UP,same_candle,24586.75,"vwap_p1,vwap_p2,daily_poc,daily_vah",,
C055,2026-06-30 03:28 ET,LONDON,DOWN,same_candle,30118.25,"daily_vah,bb_ma_15m",,
C056,2026-02-09 03:58 ET,LONDON,DOWN,same_candle,25173.75,vwap_m1,,
C057,2026-04-23 03:44 ET,LONDON,UP,same_candle,26990.0,"vwap,bb_ma_60m",,
C058,2026-01-15 03:12 ET,LONDON,UP,sequential,25744.5,vwap_p2,,
C059,2026-02-04 09:32 ET,NY_AM,DOWN,same_candle,25265.5,"vwap_m1,vwap_m2,daily_val",,
C060,2026-03-17 04:20 ET,LONDON,UP,same_candle,24785.25,"vwap_m1,daily_val",,
C061,2025-09-25 04:39 ET,LONDON,DOWN,same_candle,24749.0,"daily_poc,bb_ma_15m,vwap",,
C062,2026-05-11 04:30 ET,LONDON,DOWN,sequential,29267.0,"vwap_m1,daily_val",,
C063,2026-04-06 09:42 ET,NY_AM,UP,same_candle,24312.75,daily_poc,,
C064,2026-03-12 04:42 ET,LONDON,DOWN,sequential,24838.5,vwap_p1,,
C065,2026-01-13 09:52 ET,NY_AM,DOWN,sequential,25944.5,"vwap,daily_poc",,
C066,2026-04-17 03:40 ET,LONDON,DOWN,same_candle,26472.25,"vwap,daily_poc",,
C067,2026-04-22 09:34 ET,NY_AM,DOWN,same_candle,26831.75,"vwap_p1,bb_ma_15m,vwap,daily_poc",,
C068,2026-01-28 03:42 ET,LONDON,DOWN,same_candle,26307.75,vwap_p1,,
C069,2026-07-02 09:48 ET,NY_AM,UP,same_candle,30165.0,daily_poc,,
C070,2026-06-09 09:45 ET,NY_AM,UP,same_candle,29767.0,"vwap_p1,daily_poc,daily_vah,bb_ma_15m",,
C071,2026-05-21 09:52 ET,NY_AM,UP,same_candle,29230.75,"daily_poc,vwap_m1",,
C072,2026-01-13 03:22 ET,LONDON,UP,same_candle,25916.25,"vwap_p1,daily_vah",,
C073,2025-11-27 03:45 ET,LONDON,DOWN,same_candle,25315.0,"vwap,daily_poc,bb_ma_15m",,
C074,2025-10-27 10:24 ET,NY_AM,DOWN,same_candle,25834.0,"daily_poc,bb_ma_15m",,
C075,2026-03-19 04:02 ET,LONDON,UP,same_candle,24578.0,"daily_val,vwap_m1",,
C076,2025-12-12 03:28 ET,LONDON,UP,same_candle,25672.75,daily_poc,,
C077,2025-11-17 10:34 ET,NY_AM,DOWN,same_candle,25064.75,"vwap_m1,bb_ma_15m",,
C078,2025-11-05 04:20 ET,LONDON,DOWN,sequential,25508.25,"vwap_p1,bb_ma_15m",,
C079,2025-12-30 10:51 ET,NY_AM,UP,same_candle,25717.75,"vwap,vwap_m1,bb_ma_15m,daily_poc",,
C080,2026-05-25 03:34 ET,LONDON,UP,same_candle,29971.25,"vwap_p1,daily_poc,bb_ma_15m",,
C081,2025-10-02 10:36 ET,NY_AM,UP,same_candle,25078.25,bb_ma_60m,,
C082,2026-03-03 03:14 ET,LONDON,DOWN,sequential,24652.25,daily_val,,
C083,2026-06-08 10:16 ET,NY_AM,DOWN,same_candle,29397.5,daily_vah,,
